PartNumber	NominalSize	NominalSize2	OutsideHeight (in)	OutsideWidth (in)	OutsideWidth2 (in)	InsideHeight (in)	InsideWidth (in)	InsideWidth2 (in)	RailFlangeThickness (in)	RailFlangeWidth (in)	RailWallThickness (in)	RungHeight (in)	RungLength (in)	FloorSectionSpacing (in)	Length (in)	Series
B36AL-42-12-LR	B36-42in	B36-12in	6.17	43.45	13.45	5.06	42	12	0.11	2	0.075	1	1	6	25.3125	B Series 36  Aluminum 6in rails
B36AL-42-18-LR	B36-42in	B36-18in	6.17	43.45	19.45	5.06	42	18	0.11	2	0.075	1	1	6	21.875	B Series 36  Aluminum 6in rails
B36AL-42-24-LR	B36-42in	B36-24in	6.17	43.45	25.45	5.06	42	24	0.11	2	0.075	1	1	6	18.375	B Series 36  Aluminum 6in rails
B36AL-42-30-LR	B36-42in	B36-30in	6.17	43.45	31.45	5.06	42	30	0.11	2	0.075	1	1	6	14.9375	B Series 36  Aluminum 6in rails
B36AL-42-36-LR	B36-42in	B36-36in	6.17	43.45	37.45	5.06	42	36	0.11	2	0.075	1	1	6	11.5	B Series 36  Aluminum 6in rails
B37AL-09-06-LR	B37-09in	B37-06in	7.14	10.5	7.5	6.05	9	6	0.09	2	0.075	1	1	6	9.75	B Series 37  Aluminum 7in rails
B37AL-12-06-LR	B37-12in	B37-06in	7.14	13.5	7.5	6.05	12	6	0.09	2	0.075	1	1	6	11.5	B Series 37  Aluminum 7in rails
B37AL-12-09-LR	B37-12in	B37-09in	7.14	13.5	10.5	6.05	12	9	0.09	2	0.075	1	1	6	9.75	B Series 37  Aluminum 7in rails
B37AL-18-06-LR	B37-18in	B37-06in	7.14	19.5	7.5	6.05	18	6	0.09	2	0.075	1	1	6	14.9375	B Series 37  Aluminum 7in rails
B37AL-18-09-LR	B37-18in	B37-09in	7.14	19.5	10.5	6.05	18	9	0.09	2	0.075	1	1	6	13.1875	B Series 37  Aluminum 7in rails
B37AL-18-12-LR	B37-18in	B37-12in	7.14	19.5	13.5	6.05	18	12	0.09	2	0.075	1	1	6	11.5	B Series 37  Aluminum 7in rails
B37AL-24-06-LR	B37-24in	B37-06in	7.14	25.5	7.5	6.05	24	6	0.09	2	0.075	1	1	6	18.375	B Series 37  Aluminum 7in rails
B37AL-24-09-LR	B37-24in	B37-09in	7.14	25.5	10.5	6.05	24	9	0.09	2	0.075	1	1	6	16.6875	B Series 37  Aluminum 7in rails
B37AL-24-12-LR	B37-24in	B37-12in	7.14	25.5	13.5	6.05	24	12	0.09	2	0.075	1	1	6	14.9375	B Series 37  Aluminum 7in rails
B37AL-24-18-LR	B37-24in	B37-18in	7.14	25.5	19.5	6.05	24	18	0.09	2	0.075	1	1	6	11.5	B Series 37  Aluminum 7in rails
B37AL-30-06-LR	B37-30in	B37-06in	7.14	31.5	7.5	6.05	30	6	0.09	2	0.075	1	1	6	21.875	B Series 37  Aluminum 7in rails
B37AL-30-09-LR	B37-30in	B37-09in	7.14	31.5	10.5	6.05	30	9	0.09	2	0.075	1	1	6	20.125	B Series 37  Aluminum 7in rails
B37AL-30-12-LR	B37-30in	B37-12in	7.14	31.5	13.5	6.05	30	12	0.09	2	0.075	1	1	6	18.375	B Series 37  Aluminum 7in rails
B37AL-30-18-LR	B37-30in	B37-18in	7.14	31.5	19.5	6.05	30	18	0.09	2	0.075	1	1	6	14.9375	B Series 37  Aluminum 7in rails
B37AL-30-24-LR	B37-30in	B37-24in	7.14	31.5	25.5	6.05	30	24	0.09	2	0.075	1	1	6	11.5	B Series 37  Aluminum 7in rails
B37AL-36-06-LR	B37-36in	B37-06in	7.14	37.5	7.5	6.05	36	6	0.09	2	0.075	1	1	6	25.3125	B Series 37  Aluminum 7in rails
