PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
L8x6x0.5625	30	8.000	6.000	0.563	0.563	0.500	0.250	0	0	0	7.59	25.79	27.57	2.50	2.94	4.35	5.55	60.07	10.82	2.81	12.72	4.33	1.29	0.80	3.38	4.50	28.93
L8x6x0.5	30	8.000	6.000	0.500	0.500	0.500	0.250	0	0	0	6.78	23.04	27.57	2.46	2.94	4.34	5.56	54.03	9.72	2.82	11.44	3.89	1.30	0.56	3.00	4.00	28.98
L8x6x0.4375	30	8.000	6.000	0.438	0.438	0.500	0.250	0	0	0	5.96	20.27	27.57	2.43	2.94	4.34	5.57	47.83	8.59	2.83	10.13	3.45	1.30	0.38	2.63	3.50	29.02
L8x4x1	30	8.000	4.000	1.000	1.000	0.500	0.250	0	0	0	11.03	37.49	23.57	1.74	2.33	3.65	5.07	73.20	14.43	2.58	7.79	3.34	0.84	3.67	4.00	8.00	13.84
L8x4x0.875	30	8.000	4.000	0.875	0.875	0.500	0.250	0	0	0	9.76	33.19	23.57	1.69	2.35	3.63	5.11	65.78	12.88	2.60	6.92	2.95	0.84	2.48	3.50	7.00	14.11
L8x4x0.75	30	8.000	4.000	0.750	0.750	0.500	0.250	0	0	0	8.46	28.78	23.57	1.65	2.36	3.60	5.14	57.91	11.26	2.62	6.06	2.56	0.85	1.58	3.00	6.00	14.35
L8x4x0.625	30	8.000	4.000	0.625	0.625	0.500	0.250	0	0	0	7.14	24.26	23.57	1.60	2.38	3.57	5.18	49.55	9.57	2.64	5.17	2.17	0.85	0.93	2.50	5.00	14.57
L8x4x0.5625	30	8.000	4.000	0.563	0.563	0.500	0.250	0	0	0	6.46	21.97	23.57	1.57	2.39	3.56	5.20	45.19	8.70	2.64	4.71	1.97	0.85	0.68	2.25	4.50	14.66
L8x4x0.5	30	8.000	4.000	0.500	0.500	0.500	0.250	0	0	0	5.78	19.64	23.57	1.54	2.40	3.54	5.21	40.69	7.80	2.65	4.25	1.77	0.86	0.48	2.00	4.00	14.75
L8x4x0.4375	30	8.000	4.000	0.438	0.438	0.500	0.250	0	0	0	5.09	17.29	23.57	1.51	2.41	3.52	5.23	36.07	6.89	2.66	3.78	1.57	0.86	0.32	1.75	3.50	14.83
L7x4x0.875	30	7.000	4.000	0.875	0.875	0.500	0.250	0	0	0	8.89	30.21	21.57	1.77	2.25	3.31	4.57	46.38	10.15	2.28	6.43	2.86	0.85	2.26	3.50	6.13	17.56
L7x4x0.75	30	7.000	4.000	0.750	0.750	0.500	0.250	0	0	0	7.71	26.23	21.57	1.72	2.25	3.29	4.60	40.96	8.91	2.30	5.62	2.49	0.85	1.44	3.00	5.25	17.83
L7x4x0.625	30	7.000	4.000	0.625	0.625	0.500	0.250	0	0	0	6.51	22.14	21.57	1.67	2.26	3.27	4.63	35.16	7.60	2.32	4.80	2.12	0.86	0.84	2.50	4.38	18.07
L7x4x0.5625	30	7.000	4.000	0.563	0.563	0.500	0.250	0	0	0	5.90	20.05	21.57	1.64	2.27	3.25	4.64	32.11	6.91	2.33	4.38	1.93	0.86	0.62	2.25	3.94	18.18
L7x4x0.5	30	7.000	4.000	0.500	0.500	0.500	0.250	0	0	0	5.28	17.94	21.57	1.61	2.28	3.24	4.66	28.95	6.21	2.34	3.95	1.73	0.86	0.44	2.00	3.50	18.27
L7x4x0.4375	30	7.000	4.000	0.438	0.438	0.500	0.250	0	0	0	4.65	15.80	21.57	1.58	2.29	3.23	4.68	25.70	5.49	2.35	3.51	1.53	0.87	0.29	1.75	3.06	18.35
