PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
W27x336	10	30.000	14.545	1.260	2.280	0.750	0.000	0	0	0	98.9	336.1	114.37	7.27	7.27	15.00	15.00	14575	972	12.14	1174	161	3.45	171.46	44.22	37.80	0
W27x307	10	29.610	14.445	1.160	2.090	0.750	0.000	0	0	0	90.4	307.2	113.39	7.22	7.22	14.81	14.81	13120	886	12.05	1053	146	3.41	131.49	40.25	34.35	0
W27x281	10	29.290	14.350	1.060	1.930	0.688	0.000	0	0	0	82.8	281.4	112.68	7.18	7.18	14.65	14.65	11900	813	11.99	953	133	3.39	102.53	36.93	31.05	0
W27x258	10	28.980	14.270	0.980	1.770	0.750	0.000	0	0	0	75.9	258.2	111.79	7.14	7.14	14.49	14.49	10784	744	11.92	859	120	3.36	78.96	33.68	28.40	0
W27x235	10	28.660	14.190	0.910	1.610	0.688	0.000	0	0	0	69.2	235.4	111.08	7.10	7.10	14.33	14.33	9681	676	11.82	768	108	3.33	59.63	30.46	26.08	0
W27x217	10	28.430	14.115	0.830	1.500	0.688	0.000	0	0	0	63.9	217.1	110.48	7.06	7.06	14.22	14.22	8887	625	11.80	704	100	3.32	47.59	28.23	23.60	0
W27x194	10	28.110	14.035	0.750	1.340	0.750	0.000	0	0	0	57.2	194.4	109.57	7.02	7.02	14.06	14.06	7848	558	11.72	618	88	3.29	33.92	25.08	21.08	0
W27x178	10	27.811	14.087	0.724	1.189	0.688	0.000	0	0	0	52.3	177.9	109.34	7.04	7.04	13.91	13.91	6996	503	11.56	555	79	3.26	24.71	22.33	20.15	0
W27x161	10	27.591	14.020	0.661	1.079	0.750	0.000	0	0	0	47.6	161.7	108.65	7.01	7.01	13.80	13.80	6301	457	11.51	496	71	3.23	18.44	20.16	18.25	0
W27x146	10	27.382	13.965	0.606	0.976	0.688	0.000	0	0	0	43.1	146.5	108.23	6.98	6.98	13.69	13.69	5650	413	11.45	444	64	3.21	13.72	18.18	16.60	0
W27x129	10	27.630	10.010	0.610	1.100	0.688	0.000	0	0	0	37.9	129.0	92.90	5.01	5.01	13.82	13.82	4777	346	11.22	184	37	2.20	14.05	14.68	16.85	0
W27x114	10	27.291	10.071	0.571	0.929	0.688	0.000	0	0	0	33.6	114.4	92.54	5.04	5.04	13.65	13.65	4099	300	11.04	159	32	2.17	9.05	12.48	15.58	0
W27x102	10	27.091	10.016	0.516	0.831	0.750	0.000	0	0	0	30.2	102.8	91.92	5.01	5.01	13.55	13.55	3652	270	10.99	139	28	2.15	6.49	11.09	13.97	0
W27x94	10	26.921	9.988	0.488	0.744	0.688	0.000	0	0	0	27.7	94.1	91.64	4.99	4.99	13.46	13.46	3280	244	10.89	124	25	2.12	4.85	9.91	13.14	0
W27x84	10	26.709	9.961	0.461	0.642	0.750	0.000	0	0	0	25.0	84.9	91.05	4.98	4.98	13.35	13.35	2879	216	10.74	106	21	2.06	3.36	8.52	12.30	0
W24x492	10	29.650	14.115	1.970	3.540	0.750	0.000	0	0	0	144.9	492.6	110.53	7.06	7.06	14.83	14.83	19084	1287	11.48	1674	237	3.40	617.45	66.62	58.41	0
W24x450	10	29.090	13.955	1.810	3.270	0.813	0.000	0	0	0	132.6	451.0	108.99	6.98	6.98	14.55	14.55	17092	1175	11.35	1493	214	3.35	480.83	60.84	52.65	0
W24x408	10	28.540	13.800	1.650	2.990	0.750	0.000	0	0	0	120.2	408.8	107.69	6.90	6.90	14.27	14.27	15168	1063	11.23	1319	191	3.31	363.62	55.02	47.09	0
W24x370	10	27.990	13.660	1.520	2.720	0.750	0.000	0	0	0	109.1	370.8	106.29	6.83	6.83	14.00	14.00	13421	959	11.09	1163	170	3.26	272.55	49.54	42.54	0
W24x335	10	27.520	13.520	1.380	2.480	0.750	0.000	0	0	0	98.7	335.5	105.07	6.76	6.76	13.76	13.76	11926	867	10.99	1027	152	3.23	204.42	44.71	37.98	0
W24x306	10	27.130	13.405	1.260	2.280	0.813	0.000	0	0	0	90.1	306.4	103.97	6.70	6.70	13.57	13.57	10740	792	10.92	919	137	3.19	157.26	40.75	34.18	0
W24x279	10	26.730	13.305	1.160	2.090	0.813	0.000	0	0	0	82.3	280.0	102.97	6.65	6.65	13.37	13.37	9640	721	10.82	824	124	3.16	120.52	37.08	31.01	0
W24x250	10	26.340	13.185	1.040	1.890	0.813	0.000	0	0	0	73.9	251.2	101.95	6.59	6.59	13.17	13.17	8528	648	10.74	724	110	3.13	88.14	33.23	27.39	0
W24x229	10	26.020	13.110	0.960	1.730	0.750	0.000	0	0	0	67.5	229.5	101.27	6.56	6.56	13.01	13.01	7680	590	10.67	652	99	3.11	67.48	30.24	24.98	0
W24x207	10	25.710	13.010	0.870	1.570	0.813	0.000	0	0	0	61.1	207.6	100.33	6.51	6.51	12.86	12.86	6863	534	10.60	578	89	3.08	50.07	27.23	22.37	0
W24x192	10	25.470	12.950	0.810	1.460	0.813	0.000	0	0	0	56.6	192.6	99.73	6.48	6.48	12.74	12.74	6300	495	10.55	530	82	3.06	40.12	25.21	20.63	0
W24x176	10	25.240	12.890	0.750	1.340	0.813	0.000	0	0	0	52.0	176.9	99.15	6.45	6.45	12.62	12.62	5726	454	10.49	479	74	3.04	31.00	23.03	18.93	0
W24x162	10	25.000	12.957	0.705	1.220	0.750	0.000	0	0	0	48.0	163.2	99.13	6.48	6.48	12.50	12.50	5209	417	10.42	443	68	3.04	23.84	21.08	17.62	0
W24x146	10	24.740	12.902	0.650	1.091	0.813	0.000	0	0	0	43.4	147.4	98.39	6.45	6.45	12.37	12.37	4629	374	10.33	391	61	3.00	17.18	18.76	16.07	0
W24x131	10	24.480	12.854	0.606	0.961	0.813	0.000	0	0	0	38.9	132.4	97.77	6.43	6.43	12.24	12.24	4067	332	10.22	341	53	2.96	12.05	16.46	14.84	0
W24x117	10	24.260	12.799	0.551	0.850	0.750	0.000	0	0	0	34.7	117.9	97.33	6.40	6.40	12.13	12.13	3571	294	10.15	298	47	2.93	8.46	14.51	13.37	0
W24x104	10	24.059	12.752	0.500	0.752	0.750	0.000	0	0	0	30.9	105.2	96.84	6.38	6.38	12.03	12.03	3143	261	10.08	260	41	2.90	5.92	12.79	12.03	0
W24x103	10	24.530	9.000	0.550	0.980	0.750	0.000	0	0	0	30.5	103.8	82.67	4.50	4.50	12.27	12.27	3034	247	9.97	119	27	1.98	8.97	11.76	13.49	0
W24x94	10	24.311	9.067	0.516	0.874	0.750	0.000	0	0	0	28.0	95.1	82.57	4.53	4.53	12.16	12.16	2731	225	9.88	109	24	1.97	6.59	10.57	12.54	0
W24x84	10	24.098	9.020	0.469	0.772	0.813	0.000	0	0	0	25.1	85.2	81.94	4.51	4.51	12.05	12.05	2412	200	9.81	95	21	1.94	4.60	9.28	11.29	0
W24x76	10	23.921	8.988	0.441	0.681	0.750	0.000	0	0	0	22.7	77.1	81.63	4.49	4.49	11.96	11.96	2135	179	9.70	83	18	1.91	3.30	8.16	10.55	0
W24x68	10	23.728	8.965	0.413	0.587	0.813	0.000	0	0	0	20.4	69.4	81.09	4.48	4.48	11.86	11.86	1874	158	9.58	71	16	1.86	2.26	7.01	9.81	0
W24x62	10	23.740	7.039	0.429	0.591	0.813	0.000	0	0	0	18.6	63.1	73.38	3.52	3.52	11.87	11.87	1595	134	9.27	35	10	1.36	2.03	5.54	10.19	0
W24x55	10	23.571	7.004	0.394	0.504	0.813	0.000	0	0	0	16.5	56.1	72.98	3.50	3.50	11.79	11.79	1386	118	9.16	29	8	1.33	1.37	4.71	9.28	0
W21x402	10	26.020	13.405	1.730	3.130	0.750	0.000	0	0	0	118.6	403.2	100.91	6.70	6.70	13.01	13.01	12218	939	10.15	1266	189	3.27	400.58	55.94	45.01	0
W21x364	10	25.470	13.265	1.590	2.850	0.750	0.000	0	0	0	107.5	365.6	99.53	6.63	6.63	12.74	12.74	10792	847	10.02	1116	168	3.22	300.57	50.41	40.50	0
W21x333	10	25.000	13.130	1.460	2.620	0.750	0.000	0	0	0	98.1	333.7	98.31	6.57	6.57	12.50	12.50	9639	771	9.91	994	151	3.18	231.30	45.87	36.50	0
