PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
WT5x8.5	40	5.055	4.01	0.24	0.33	0.438	0	0	0	0	2.54	8.63	17.75	2.01	2.01	1.30	3.75	6.09	1.62	1.55	1.78	0.89	0.84	0.08	0.88	0.81	0.00
WT5x7.5	40	4.995	4	0.23	0.27	0.438	0	0	0	0	2.25	7.65	17.61	2.00	2.00	1.35	3.64	5.49	1.51	1.56	1.45	0.72	0.80	0.05	0.72	0.77	0.00
WT5x6	40	4.935	3.96	0.19	0.21	0.438	0	0	0	0	1.81	6.16	17.41	1.98	1.98	1.34	3.60	4.39	1.22	1.56	1.09	0.55	0.78	0.03	0.55	0.63	0.00
WT4x33.5	40	4.5	8.28	0.57	0.935	0.5	0	0	0	0	9.88	33.60	25.13	4.14	4.14	0.94	3.56	10.87	3.05	1.05	44.30	10.70	2.12	2.77	5.16	1.71	0.00
WT4x29	40	4.375	8.22	0.51	0.81	0.5	0	0	0	0	8.58	29.18	24.76	4.11	4.11	0.87	3.50	9.12	2.61	1.03	37.55	9.14	2.09	1.81	4.44	1.49	0.00
WT4x24	40	4.25	8.11	0.4	0.685	0.5	0	0	0	0	7.09	24.10	24.29	4.06	4.06	0.78	3.47	6.85	1.97	0.98	30.48	7.52	2.07	1.06	3.70	1.13	0.00
WT4x20	40	4.125	8.07	0.36	0.56	0.5	0	0	0	0	5.91	20.09	23.96	4.04	4.04	0.74	3.39	5.73	1.69	0.98	24.55	6.08	2.04	0.59	3.01	0.99	0.00
WT4x17.5	40	4.06	8.02	0.31	0.495	0.5	0	0	0	0	5.18	17.62	23.73	4.01	4.01	0.69	3.37	4.82	1.43	0.96	21.30	5.31	2.03	0.40	2.65	0.84	0.00
WT4x15.5	40	4	7.995	0.285	0.435	0.5	0	0	0	0	4.60	15.64	23.56	4.00	4.00	0.67	3.33	4.28	1.28	0.96	18.54	4.64	2.01	0.28	2.32	0.76	0.00
WT4x14	40	4.03	6.535	0.285	0.465	0.5	0	0	0	0	4.16	14.15	20.70	3.27	3.27	0.73	3.30	4.23	1.28	1.01	10.83	3.31	1.61	0.28	2.03	0.77	0.00
WT4x12	40	3.965	6.495	0.245	0.4	0.5	0	0	0	0	3.58	12.17	20.49	3.25	3.25	0.69	3.27	3.53	1.08	0.99	9.14	2.82	1.60	0.17	1.73	0.65	0.00
WT4x10.5	40	4.14	5.27	0.25	0.4	0.438	0	0	0	0	3.13	10.63	18.44	2.64	2.64	0.83	3.31	3.90	1.18	1.12	4.89	1.86	1.25	0.15	1.41	0.69	0.00
WT4x9	40	4.07	5.25	0.23	0.33	0.438	0	0	0	0	2.68	9.10	18.26	2.63	2.63	0.83	3.24	3.41	1.05	1.13	3.99	1.52	1.22	0.09	1.16	0.62	0.00
WT4x7.5	40	4.055	4.015	0.245	0.315	0.438	0	0	0	0	2.26	7.70	15.76	2.01	2.01	0.99	3.07	3.29	1.07	1.21	1.71	0.85	0.87	0.07	0.84	0.66	0.00
WT4x6.5	40	3.995	4	0.23	0.255	0.438	0	0	0	0	1.96	6.67	15.61	2.00	2.00	1.01	2.98	2.91	0.98	1.22	1.37	0.68	0.83	0.04	0.68	0.61	0.00
WT4x5	40	3.945	3.94	0.17	0.205	0.438	0	0	0	0	1.53	5.19	15.39	1.97	1.97	0.94	3.01	2.16	0.72	1.19	1.05	0.53	0.83	0.02	0.54	0.45	0.00
WT3x12.5	40	3.19	6.08	0.32	0.455	0.375	0	0	0	0	3.70	12.59	18.22	3.04	3.04	0.61	2.58	2.29	0.89	0.79	8.53	2.81	1.52	0.25	1.84	0.68	0.00
WT3x10	40	3.1	6.02	0.26	0.365	0.375	0	0	0	0	2.97	10.09	17.92	3.01	3.01	0.56	2.54	1.76	0.69	0.77	6.64	2.21	1.50	0.13	1.46	0.54	0.00
WT3x7.5	40	2.995	5.99	0.23	0.26	0.375	0	0	0	0	2.25	7.64	17.65	3.00	3.00	0.56	2.44	1.41	0.58	0.79	4.66	1.56	1.44	0.05	1.04	0.46	0.00
WT3x8	40	3.14	4.03	0.26	0.405	0.375	0	0	0	0	2.40	8.17	14.02	2.02	2.02	0.67	2.47	1.69	0.68	0.84	2.22	1.10	0.96	0.12	1.09	0.54	0.00
WT3x6	40	3.015	4	0.23	0.28	0.375	0	0	0	0	1.81	6.15	13.71	2.00	2.00	0.67	2.34	1.32	0.56	0.85	1.50	0.75	0.91	0.05	0.75	0.46	0.00
WT3x4.5	40	2.95	3.94	0.17	0.215	0.375	0	0	0	0	1.37	4.67	13.46	1.97	1.97	0.62	2.33	0.95	0.41	0.83	1.10	0.56	0.89	0.02	0.56	0.33	0.00
WT2.5x9.5	40	2.575	5.03	0.27	0.43	0.375	0	0	0	0	2.80	9.53	14.89	2.52	2.52	0.49	2.09	1.01	0.49	0.60	4.57	1.82	1.28	0.17	1.44	0.46	0.00
WT2.5x8	40	2.505	5	0.24	0.36	0.375	0	0	0	0	2.38	8.08	14.69	2.50	2.50	0.46	2.05	0.85	0.41	0.60	3.76	1.50	1.26	0.10	1.20	0.40	0.00
WT2x6.5	40	2.08	4.06	0.28	0.345	0.313	0	0	0	0	1.93	6.56	12.01	2.03	2.03	0.44	1.64	0.53	0.32	0.52	1.93	0.95	1.00	0.08	0.93	0.39	0.00
																											
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
