CATRouPartNumber	CATRouSize1	CATRouSize2	CATRouOutsideHeight	CATRouOutsideWidth1	CATRouOutsideWidth2	Length	InsideWidth1	InsideWidth2	LoadingDepth	RailFlangeWidth	RailFlangeThickness	RailWebThickness	RungSpacing	RungHeight	RungLength
B37AL-24-06-SR	B37x24"	B37x6"	7.14in	25.5in	7.5in	13.1875in	24in	6in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-24-09-SR	B37x24"	B37x9"	7.14in	25.5in	10.5in	12.375in	24in	9in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-24-12-SR	B37x24"	B37x12"	7.14in	25.5in	13.5in	11.500in	24in	12in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-24-18-SR	B37x24"	B37x18"	7.14in	25.5in	19.5in	9.7500in	24in	18in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-30-06-SR	B37x30"	B37x6"	7.14in	31.5in	7.5in	14.9375in	30in	6in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-30-09-SR	B37x30"	B37x9"	7.14in	31.5in	10.5in	14.0625in	30in	9in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-30-12-SR	B37x30"	B37x12"	7.14in	31.5in	13.5in	13.1875in	30in	12in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-30-18-SR	B37x30"	B37x18"	7.14in	31.5in	19.5in	11.500in	30in	18in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-30-24-SR	B37x30"	B37x24"	7.14in	31.5in	25.5in	9.7500in	30in	24in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-36-06-SR	B37x36"	B37x6"	7.14in	37.5in	7.5in	16.6875in	36in	6in	6.05in	2in	0.09in	0.075in	6in	1in	1in
B37AL-36-09-SR	B37x36"	B37x9"	7.14in	37.5in	10.5in	15.8125in	36in	9in	6.05in	2in	0.09in	0.075in	6in	1in	1in
